question_id,year,question_no,field,theme,choice,correctness,institution,actor,requirement,effect,exception,boundary,trap,reason,exam_cutting_rule,lesson_seed,quiz_seed,review_tag,confidence
R07-行政法-問08-1,2025,8,行政法総論,行政行為の効力,1,誤り,授益的処分の撤回,処分をした行政庁,成立時は適法だが後発事情により公益上効力維持が不適当となること,将来に向かって効力を失わせる,信頼保護により制限される,撤回と職権取消しの境界,明文根拠が常に必要と限定する,撤回に常に明文根拠が必要なわけではない,撤回は明文根拠必須と出たら疑う,取消しと撤回の違い,授益的処分の撤回には常に明文根拠が必要か,制度混同;要件ミス;例外ミス,中
R07-行政法-問08-2,2025,8,行政法総論,行政行為の効力,2,正しい,行政処分の当然無効,処分庁・処分を受けた者・裁判所,重大かつ明白な瑕疵,当然に無効,単なる違法では足りない,無効と取消しの境界,明白性の判断基準,明白性は外形上客観的に判断する,重大かつ明白と外形上客観的が出たら無効論として残す,無効と取消しの境界,重大明白説の一問一答,判例;制度境界;効果ミス,高
R07-行政法-問08-3,2025,8,行政法総論,行政行為の効力,3,誤り,不可変更力,裁決・審決などをした行政庁,争訟手続により当事者を関与させ紛争の終局的解決を目的とすること,行政庁自身が原則として自由に変更できない,特別の規定がある場合は別,一般処分の職権取消しとの境界,争訟裁断行為を自由に取り消せるようにする,争訟裁断行為には不可変更力がある,争訟手続と終局的解決が出たら不可変更力を疑う,不可変更力の整理,裁決をした行政庁は自由に取り消せるか,制度混同;効果ミス;例外ミス,中
R07-行政法-問08-4,2025,8,行政法総論,行政行為の効力,4,誤り,職権取消し,処分をした行政庁,処分成立時に違法または不当があること,処分の効力を失わせる,授益的処分では信頼保護により制限される場合がある,司法審査との対象差,職権取消しを違法に限定する,職権取消しは違法だけでなく不当も対象になり得る,職権取消しは違法に限ると出たら疑う,職権取消しと司法審査の違い,職権取消しは不当な処分にも及ぶか,制度境界;要件ミス,中
R07-行政法-問08-5,2025,8,行政法総論,行政行為の効力,5,誤り,瑕疵の治癒,行政庁・処分の相手方・裁判所,成立時の瑕疵が事後事情により補われること,当初の瑕疵が問題とならない場合がある,重大な瑕疵や手続保障の趣旨を没却する場合は注意,無効・取消し・治癒の境界,瑕疵の治癒を全面否定する,瑕疵の治癒が認められる場合がある,一切治癒されないも常に治癒されるも疑う,瑕疵の治癒の整理,処分成立時の瑕疵は事後事情で治癒される場合があるか,例外ミス;効果ミス;読み落とし,中
R07-行政法-問09-ア,2025,9,行政法総論,行政罰・行政上の制裁・二重処罰,ア,正しい,過料,裁判所・過料を科される者,法令上の義務違反があり非訟事件手続で過料が科されること,刑罰ではなく秩序罰として過料が科される,刑事手続と同一の厳格な手続までは不要,刑罰と過料の境界,裁判所が関与するため刑罰と誤認させる,過料は刑罰ではなく秩序罰として扱われる,過料を刑罰と即断しない,過料は刑罰ではなく秩序罰,裁判所が科す過料には常に刑事手続と同じ手続が必要か,制度境界;憲法31条;行政罰,中
R07-行政法-問09-イ,2025,9,行政法総論,行政罰・行政上の制裁・二重処罰,イ,正しい,課徴金,公正取引委員会・違反事業者・刑事裁判所,違反行為により刑事罰とは別に課徴金納付命令が問題となること,課徴金納付命令が出され得る,実質的に刑罰と同視される制度設計なら別途問題となる,罰金と課徴金の境界,罰金刑の後の課徴金を二重処罰に見せる,課徴金は刑罰とは趣旨・性質が異なる行政上の措置,刑罰と課徴金の併科だけで二重処罰としない,罰金と課徴金の違い,罰金刑が確定した者に課徴金を命じることは当然に二重処罰となるか,二重処罰;課徴金;制度境界,中
R07-行政法-問09-ウ,2025,9,行政法総論,行政罰・行政上の制裁・二重処罰,ウ,誤り,重加算税,税務署長・納税者・刑事裁判所,仮装隠蔽などにより申告義務違反があり刑事罰とは別に重加算税が問題となること,重加算税が課され得る,制度の実質が刑罰と同視される場合は別途検討,刑罰と重加算税の境界,重加算税を刑罰的制裁として説明する,重加算税は申告納税秩序を守る行政上の措置で刑罰とは異なる,重加算税を刑罰的制裁と寄せてきたら疑う,重加算税と刑罰の併科,脱税で刑罰を受けた者に重加算税を課すことは当然に二重処罰となるか,二重処罰;重加算税;制度境界,中
R07-行政法-問09-エ,2025,9,行政法総論,行政罰・行政上の制裁・二重処罰,エ,誤り,過料と罰金,裁判官・刑事裁判所・証人,正当な理由なく証言を拒絶し過料と罰金が問題となること,過料と罰金が併科され得る,同一の制度趣旨と性質をもつ刑罰が重なる場合は注意,秩序罰と刑罰の境界,目的が一部共通するなら併科不可と読ませる,過料と罰金は目的・要件・手続・法的性質を異にする,目的が一部共通するだけで併科不可としない,秩序罰としての過料と刑罰としての罰金,証言拒絶に対する過料と罰金は目的が一部共通するため併科できないか,二重処罰;過料;刑罰;制度境界,中
R07-行政法-問10-1,2025,10,行政法総論,行政行為の附款,1,正しい,附款を付す根拠,行政庁,裁量行為で附款が裁量の範囲内かつ行政目的に沿うこと,明示の法令根拠がなくても附款を付せる場合がある,裁量逸脱濫用は不可,覊束行為と裁量行為の境界,明文根拠なしなら常に附款不可と誤認させる,裁量行為では裁量の範囲内で附款を付せる場合がある,明文根拠なしイコール常に不可とはしない,附款を付す根拠,裁量行為で明文根拠がなければ附款は常に不可か,附款;裁量行為;法律の留保;制度境界,中
R07-行政法-問10-2,2025,10,行政法総論,行政行為の附款,2,誤り,撤回権の留保,行政庁,一定の場合に撤回できる旨をあらかじめ付加すること,留保事由が生じた場合に撤回を行いやすくなる,留保がなくても撤回が認められる場合がある,撤回権の留保と撤回そのものの境界,留保がなければ撤回できないと誤認させる,撤回権の留保は撤回の唯一の根拠ではない,撤回権留保がなければ撤回不可と出たら疑う,撤回権の留保と撤回の違い,撤回権の留保がない場合は一切撤回できないか,撤回;撤回権の留保;効果ミス;制度境界,中
